House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
400004,AL,4,Yea,Rep. Robert Aderholt [R],Republican
400030,GA,2,Nay,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,Nay,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Not Voting,Rep. Kevin Brady [R],Republican
400052,TX,26,Yea,Rep. Michael Burgess [R],Republican
400057,CA,42,Yea,Rep. Ken Calvert [R],Republican
400068,TX,31,Yea,Rep. John Carter [R],Republican
400069,HI,1,Nay,Rep. Ed Case [D],Democrat
400071,OH,1,Yea,Rep. Steve Chabot [R],Republican
400075,SC,6,Nay,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Yea,Rep. Tom Cole [R],Republican
400081,TN,5,Nay,Rep. Jim Cooper [D],Democrat
400093,IL,7,Nay,Rep. Danny Davis [D],Democrat
400100,OR,4,Nay,Rep. Peter DeFazio [D],Democrat
400101,CO,1,Nay,Rep. Diana DeGette [D],Democrat
400103,CT,3,Nay,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Yea,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,Nay,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,Nay,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400124,CA,18,Nay,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Not Voting,Rep. Kay Granger [R],Republican
400158,MO,6,Yea,Rep. Sam Graves [R],Republican
400162,AZ,3,Nay,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,Not Voting,Rep. Alcee Hastings [D],Democrat
400189,MD,5,Nay,Rep. Steny Hoyer [D],Democrat
400196,CA,50,Yea,Rep. Darrell Issa [R],Republican
400199,TX,18,Nay,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,Nay,Rep. Eddie Johnson [D],Democrat
400211,OH,9,Nay,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,Nay,Rep. Ron Kind [D],Democrat
400230,RI,2,Nay,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,Nay,Rep. Rick Larsen [D],Democrat
400233,CT,1,Nay,Rep. John Larson [D],Democrat
400237,CA,13,Nay,Rep. Barbara Lee [D],Democrat
400245,CA,19,Nay,Rep. Zoe Lofgren [D],Democrat
400247,OK,3,Yea,Rep. Frank Lucas [R],Republican
400249,MA,8,Nay,Rep. Stephen Lynch [D],Democrat
400251,NY,12,Nay,Rep. Carolyn Maloney [D],Democrat
400259,MN,4,Nay,Rep. Betty McCollum [D],Democrat
400263,MA,2,Nay,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Nay,Rep. Gregory Meeks [D],Democrat
400289,NY,10,Nay,Rep. Jerrold Nadler [D],Democrat
400290,CA,32,Nay,Rep. Grace Napolitano [D],Democrat
400291,MA,1,Nay,Rep. Richard Neal [D],Democrat
400297,CA,22,Yea,Rep. Devin Nunes [R],Republican
400308,NJ,6,Nay,Rep. Frank Pallone Jr. [D],Democrat
400309,NJ,9,Nay,Rep. Bill Pascrell Jr. [D],Democrat
400314,CA,12,Nay,Rep. Nancy Pelosi [D],Democrat
400326,NC,4,Nay,Rep. David Price [D],Democrat
400340,KY,5,Yea,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Yea,Rep. Mike Rogers [R],Republican
400347,CA,40,Nay,Rep. Lucille Roybal-Allard [D],Democrat
400349,MD,2,Nay,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,Nay,Rep. Bobby Rush [D],Democrat
400352,OH,13,Nay,Rep. Tim Ryan [D],Democrat
400355,CA,38,Nay,Rep. Linda Sánchez [D],Democrat
400360,IL,9,Nay,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,28,Nay,Rep. Adam Schiff [D],Democrat
400363,GA,13,Not Voting,Rep. David Scott [D],Democrat
400364,VA,3,Nay,Rep. Robert “Bobby” Scott [D],Democrat
400367,TX,17,Yea,Rep. Pete Sessions [R],Republican
400371,CA,30,Nay,Rep. Brad Sherman [D],Democrat
400376,ID,2,Nay,Rep. Michael “Mike” Simpson [R],Republican
400379,WA,9,Nay,Rep. Adam Smith [D],Democrat
400380,NJ,4,Nay,Rep. Christopher “Chris” Smith [R],Republican
400402,MS,2,Nay,Rep. Bennie Thompson [D],Democrat
400403,CA,5,Nay,Rep. Mike Thompson [D],Democrat
400411,OH,10,Nay,Rep. Michael Turner [R],Republican
400414,MI,6,Nay,Rep. Fred Upton [R],Republican
400416,NY,7,Nay,Rep. Nydia Velázquez [D],Democrat
400422,CA,43,Nay,Rep. Maxine Waters [D],Democrat
400433,SC,2,Yea,Rep. Joe Wilson [R],Republican
400440,AK,0,Nay,Rep. Don Young [R],Republican
400616,NC,1,Nay,Rep. George “G.K.” Butterfield Jr. [D],Democrat
400618,CA,16,Nay,Rep. Jim Costa [D],Democrat
400623,FL,23,Nay,Rep. Debbie Wasserman Schultz [D],Democrat
400639,MO,5,Nay,Rep. Emanuel Cleaver II [D],Democrat
400640,NE,1,Nay,Rep. Jeff Fortenberry [R],Republican
400641,NY,26,Nay,Rep. Brian Higgins [D],Democrat
400643,NC,5,Yea,Rep. Virginia Foxx [R],Republican
400644,NC,10,Nay,Rep. Patrick McHenry [R],Republican
400651,TX,1,Yea,Rep. Louie Gohmert Jr. [R],Republican
400653,TX,9,Nay,Rep. Al Green [D],Democrat
400654,TX,10,Nay,Rep. Michael McCaul [R],Republican
400657,TX,28,Nay,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Nay,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,Nay,Rep. Gwen Moore [D],Democrat
400663,CA,6,Nay,Rep. Doris Matsui [D],Democrat
407672,MD,7,Nay,Rep. Kweisi Mfume [D],Democrat
412186,NJ,8,Nay,Rep. Albio Sires [D],Democrat
412189,CA,9,Nay,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Yea,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Yea,Rep. Doug Lamborn [R],Republican
412192,CO,7,Nay,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Nay,Rep. Joe Courtney [D],Democrat
412195,FL,14,Nay,Rep. Kathy Castor [D],Democrat
412196,FL,16,Nay,Rep. Vern Buchanan [R],Republican
412199,GA,4,Nay,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412211,KY,3,Nay,Rep. John Yarmuth [D],Democrat
412212,MD,3,Nay,Rep. John Sarbanes [D],Democrat
412213,MI,7,Yea,Rep. Tim Walberg [R],Republican
412217,NE,3,Yea,Rep. Adrian Smith [R],Republican
412221,NY,9,Nay,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Yea,Rep. Jim Jordan [R],Republican
412236,TN,9,Nay,Rep. Steve Cohen [D],Democrat
412239,VT,0,Nay,Rep. Peter Welch [D],Democrat
412250,FL,12,Not Voting,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Yea,Rep. Robert Wittman [R],Republican
412256,OH,5,Nay,Rep. Robert Latta [R],Republican
412257,IL,11,Nay,Rep. Bill Foster [D],Democrat
412258,IN,7,Nay,Rep. André Carson [D],Democrat
412259,CA,14,Nay,Rep. Jackie Speier [D],Democrat
412261,LA,1,Yea,Rep. Steve Scalise [R],Republican
412272,VA,11,Nay,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Nay,Rep. Brett Guthrie [R],Republican
412282,CT,4,Nay,Rep. James Himes [D],Democrat
412286,AZ,2,Nay,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Yea,Rep. Blaine Luetkemeyer [R],Republican
